RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE ,BUST ,SOS SEASON,ECR VS. ADP,AUCTION VALUE,VALUE MATCH STATUS,MAX OFFER
212,11,Cleveland Browns,CLE,DST14,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,5 out of 5 stars,-,1,DST team match,1
213,11,Kaytron Allen,WAS,RB64,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-12,0,Matched by normalized name,0
214,11,Jaylen Wright,MIA,RB65,6,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,+38,0,Matched by normalized name,0
215,11,Evan McPherson,CIN,K8,6,Coach Upside rating–No rating available,Coach Bust rating–No rating available,2 out of 5 stars,-,0,Matched by normalized name,1
216,11,Antonio Williams,WAS,WR77,7,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-45,1,Matched by normalized name,1
217,11,Andy Borregales,NE,K9,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,1 out of 5 stars,-,0,Not found in PDF - defaulted to 0,1
218,11,Cairo Santos,CHI,K10,10,Coach Upside rating–No rating available,Coach Bust rating–No rating available,0 out of 5 stars,-,0,Matched by normalized name,1
219,11,Pat Bryant,DEN,WR78,10,Coach Upside rating–No rating available,Coach Bust rating–No rating available,2 out of 5 stars,-13,0,Not found in PDF - defaulted to 0,0
220,11,Chimere Dike,TEN,WR79,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+29,0,Not found in PDF - defaulted to 0,0
221,11,Rashod Bateman,BAL,WR80,13,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-6,0,Matched by normalized name,0
222,11,Detroit Lions,DET,DST15,6,Coach Upside rating–No rating available,Coach Bust rating–No rating available,5 out of 5 stars,-,1,DST team match,1
223,11,Dontayvion Wicks,PHI,WR81,10,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-36,0,Not found in PDF - defaulted to 0,0
224,11,De'Zhaun Stribling,SF,WR82,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-55,0,Matched by normalized name,0
225,11,Elic Ayomanor,TEN,WR83,9,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,+49,0,Not found in PDF - defaulted to 0,0
226,11,David Njoku,LAC,TE26,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-16,0,Matched by normalized name,0
227,11,Jake Bates,DET,K11,6,Coach Upside rating–No rating available,Coach Bust rating–No rating available,5 out of 5 stars,-,1,Matched by normalized name,1
228,11,Buffalo Bills,BUF,DST16,7,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,-,0,DST team match,1
229,11,Ollie Gordon II,MIA,RB66,6,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,+35,0,Matched by normalized name,0
230,11,Gunnar Helm,TEN,TE27,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-50,0,Matched by normalized name,0
231,11,Chase McLaughlin,TB,K12,10,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,-,0,Matched by normalized name,1
232,11,Tank Dell,HOU,WR84,8,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,-40,0,Matched by normalized name,0
233,11,Pat Freiermuth,PIT,TE28,9,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-42,0,Matched by normalized name,0
234,11,Malik Washington,MIA,WR85,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-51,0,Matched by normalized name,0
235,12,Tyreek Hill,FA,WR86,-,Coach Upside rating–No rating available,Coach Bust rating–No rating available,-,-15,0,Matched by normalized name,0
236,12,MarShawn Lloyd,GB,RB67,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-32,0,Matched by normalized name,0
237,12,Colby Parkinson,LAR,TE29,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-19,0,Not found in PDF - defaulted to 0,0
238,12,Cooper Kupp,SEA,WR87,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,3 out of 5 stars,-39,0,Matched by normalized name,0
239,12,Harrison Mevis,LAR,K13,11,Coach Upside rating–No rating available,Coach Bust rating–No rating available,2 out of 5 stars,-,1,Matched by normalized name,1
240,12,Geno Smith,NYJ,QB28,13,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-55,0,Matched by normalized name,0
241,12,Germie Bernard,PIT,WR88,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-59,1,Matched by normalized name,1
242,12,Cade Otton,TB,TE30,10,Coach Upside rating–No rating available,Coach Bust rating–No rating available,2 out of 5 stars,-58,0,Matched by normalized name,0
243,12,Harrison Butker,KC,K14,5,Coach Upside rating–No rating available,Coach Bust rating–No rating available,5 out of 5 stars,-,1,Matched by normalized name,1
244,12,Aaron Rodgers,PIT,QB29,9,Coach Upside rating–No rating available,Coach Bust rating–No rating available,2 out of 5 stars,-69,0,Matched by normalized name,0
245,12,Ted Hurst III,TB,WR89,10,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-48,0,Not found in PDF - defaulted to 0,0
246,12,Chris Boswell,PIT,K15,9,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-,0,Matched by normalized name,1
247,12,Zachariah Branch,ATL,WR90,11,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-71,0,Matched by normalized name,0
248,12,Jaydon Blue,DAL,RB68,14,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-55,0,Matched by normalized name,0
249,12,Keon Coleman,BUF,WR91,7,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,-32,0,Not found in PDF - defaulted to 0,0
250,12,Malik Davis,DAL,RB69,14,Coach Upside rating–No rating available,Coach Bust rating–No rating available,4 out of 5 stars,+20,0,Matched by normalized name,0
